date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-02-27 20:00:00+00:00,2023,Barracas Central,Gimnasia L.P.,2432,434,1,0,2
2023-02-27 22:15:00+00:00,2023,Racing Club,Lanus,436,446,2,1,2
2023-02-28 00:30:00+00:00,2023,Central Cordoba de Santiago,Argentinos JRS,1065,458,1,0,2
2023-03-03 23:00:00+00:00,2023,Union Santa Fe,Estudiantes L.P.,441,450,2,0,2
2023-03-03 23:00:00+00:00,2023,Sarmiento Junin,Rosario Central,474,437,4,1,2
2023-03-04 20:00:00+00:00,2023,Gimnasia L.P.,Colon Santa Fe,434,448,0,0,1
2023-03-04 20:00:00+00:00,2023,Platense,Central Cordoba de Santiago,1064,1065,1,1,1
2023-03-04 22:15:00+00:00,2023,Lanus,River Plate,446,435,0,2,0
2023-03-05 00:30:00+00:00,2023,Atletico Tucuman,Banfield,455,449,1,0,2
2023-03-05 00:30:00+00:00,2023,Newells Old Boys,Barracas Central,457,2432,1,0,2
2023-03-05 20:00:00+00:00,2023,Independiente,Instituto Cordoba,453,478,2,2,1
2023-03-05 22:15:00+00:00,2023,Huracan,San Lorenzo,445,460,1,1,1
2023-03-06 00:30:00+00:00,2023,Talleres Cordoba,Velez Sarsfield,456,438,1,2,0
2023-03-06 00:30:00+00:00,2023,Tigre,Argentinos JRS,452,458,0,1,0
2023-03-06 20:00:00+00:00,2023,Godoy Cruz,Racing Club,439,436,2,0,2
2023-03-06 20:00:00+00:00,2023,Arsenal Sarandi,Belgrano Cordoba,459,440,0,1,0
2023-03-07 00:00:00+00:00,2023,Boca Juniors,Defensa Y Justicia,451,442,0,0,1
2023-03-10 20:00:00+00:00,2023,Barracas Central,Independiente,2432,453,1,1,1
2023-03-11 00:00:00+00:00,2023,Argentinos JRS,Arsenal Sarandi,458,459,1,1,1
2023-03-11 00:00:00+00:00,2023,Instituto Cordoba,Atletico Tucuman,478,455,1,1,1
2023-03-11 20:00:00+00:00,2023,San Lorenzo,Gimnasia L.P.,460,434,4,0,2
2023-03-11 22:15:00+00:00,2023,Defensa Y Justicia,Talleres Cordoba,442,456,1,1,1
2023-03-12 00:30:00+00:00,2023,Central Cordoba de Santiago,Tigre,1065,452,2,0,2
2023-03-12 00:30:00+00:00,2023,Belgrano Cordoba,Lanus,440,446,0,0,1
2023-03-12 20:00:00+00:00,2023,Racing Club,Sarmiento Junin,436,474,1,0,2
2023-03-12 22:15:00+00:00,2023,Estudiantes L.P.,Huracan,450,445,2,1,2
2023-03-12 22:15:00+00:00,2023,River Plate,Godoy Cruz,435,439,3,0,2
2023-03-13 00:30:00+00:00,2023,Rosario Central,Union Santa Fe,437,441,1,1,1
2023-03-13 00:30:00+00:00,2023,Banfield,Boca Juniors,449,451,1,0,2
2023-03-14 00:00:00+00:00,2023,Velez Sarsfield,Platense,438,1064,1,1,1
2023-03-14 00:00:00+00:00,2023,Colon Santa Fe,Newells Old Boys,448,457,1,1,1
2023-03-18 00:00:00+00:00,2023,Union Santa Fe,Racing Club,441,436,1,3,0
2023-03-18 19:30:00+00:00,2023,Arsenal Sarandi,Tigre,459,452,2,0,2
2023-03-18 22:00:00+00:00,2023,Independiente,Colon Santa Fe,453,448,2,2,1
2023-03-18 22:00:00+00:00,2023,Platense,Defensa Y Justicia,1064,442,1,0,2
2023-03-19 00:30:00+00:00,2023,Godoy Cruz,Belgrano Cordoba,439,440,3,1,2
2023-03-19 00:30:00+00:00,2023,Atletico Tucuman,Barracas Central,455,2432,1,1,1
2023-03-19 19:30:00+00:00,2023,Gimnasia L.P.,Estudiantes L.P.,434,450,2,1,2
2023-03-19 22:00:00+00:00,2023,Boca Juniors,Instituto Cordoba,451,478,2,3,0
2023-03-20 00:30:00+00:00,2023,Talleres Cordoba,Banfield,456,449,0,1,0
2023-03-20 00:30:00+00:00,2023,Sarmiento Junin,River Plate,474,435,0,2,0
2023-03-20 21:30:00+00:00,2023,Newells Old Boys,San Lorenzo,457,460,1,0,2
2023-03-21 00:00:00+00:00,2023,Huracan,Rosario Central,445,437,0,2,0
2023-03-21 00:00:00+00:00,2023,Lanus,Argentinos JRS,446,458,0,0,1
2023-03-22 00:00:00+00:00,2023,Velez Sarsfield,Central Cordoba de Santiago,438,1065,4,0,2
2023-03-30 23:00:00+00:00,2023,Defensa Y Justicia,Velez Sarsfield,442,438,0,0,1
2023-03-31 00:30:00+00:00,2023,Argentinos JRS,Godoy Cruz,458,439,3,0,2
2023-03-31 22:00:00+00:00,2023,Rosario Central,Gimnasia L.P.,437,434,3,1,2
