date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-06-25 23:30:00+00:00,2023,Sarmiento Junin,Atletico Tucuman,474,455,4,1,2
2023-06-26 23:00:00+00:00,2023,Belgrano Cordoba,Banfield,440,449,3,1,2
2023-06-30 22:00:00+00:00,2023,Platense,Lanus,1064,446,0,1,0
2023-07-01 00:30:00+00:00,2023,Velez Sarsfield,Arsenal Sarandi,438,459,1,0,2
2023-07-01 00:30:00+00:00,2023,Atletico Tucuman,Union Santa Fe,455,441,1,0,2
2023-07-01 18:00:00+00:00,2023,Barracas Central,River Plate,2432,435,2,1,2
2023-07-01 20:30:00+00:00,2023,San Lorenzo,Rosario Central,460,437,1,0,2
2023-07-01 22:00:00+00:00,2023,Estudiantes L.P.,Central Cordoba de Santiago,450,1065,1,1,1
2023-07-02 00:30:00+00:00,2023,Talleres Cordoba,Godoy Cruz,456,439,1,1,1
2023-07-02 18:00:00+00:00,2023,Independiente,Huracan,453,445,1,0,2
2023-07-02 20:00:00+00:00,2023,Colon Santa Fe,Racing Club,448,436,0,4,0
2023-07-02 22:00:00+00:00,2023,Instituto Cordoba,Belgrano Cordoba,478,440,1,0,2
2023-07-02 22:30:00+00:00,2023,Defensa Y Justicia,Tigre,442,452,1,0,2
2023-07-02 22:30:00+00:00,2023,Banfield,Argentinos JRS,449,458,1,0,2
2023-07-03 00:30:00+00:00,2023,Boca Juniors,Sarmiento Junin,451,474,2,0,2
2023-07-03 23:00:00+00:00,2023,Newells Old Boys,Gimnasia L.P.,457,434,2,2,1
2023-07-04 23:00:00+00:00,2023,Lanus,Velez Sarsfield,446,438,0,1,0
2023-07-05 18:30:00+00:00,2023,Godoy Cruz,Platense,439,1064,2,1,2
2023-07-05 20:00:00+00:00,2023,Tigre,Banfield,452,449,1,2,0
2023-07-05 21:00:00+00:00,2023,Rosario Central,Estudiantes L.P.,437,450,0,0,1
2023-07-05 22:30:00+00:00,2023,Racing Club,San Lorenzo,436,460,1,1,1
2023-07-06 00:30:00+00:00,2023,River Plate,Colon Santa Fe,435,448,2,0,2
2023-07-06 17:00:00+00:00,2023,Arsenal Sarandi,Defensa Y Justicia,459,442,1,2,0
2023-07-06 20:00:00+00:00,2023,Union Santa Fe,Boca Juniors,441,451,0,0,1
2023-07-06 22:00:00+00:00,2023,Argentinos JRS,Instituto Cordoba,458,478,0,0,1
2023-07-06 22:00:00+00:00,2023,Sarmiento Junin,Talleres Cordoba,474,456,0,1,0
2023-07-07 00:30:00+00:00,2023,Huracan,Atletico Tucuman,445,455,0,1,0
2023-07-07 00:30:00+00:00,2023,Belgrano Cordoba,Barracas Central,440,2432,0,2,0
2023-07-07 22:00:00+00:00,2023,Gimnasia L.P.,Independiente,434,453,1,1,1
2023-07-08 00:30:00+00:00,2023,Central Cordoba de Santiago,Newells Old Boys,1065,457,2,0,2
2023-07-08 21:00:00+00:00,2023,Estudiantes L.P.,Racing Club,450,436,0,0,1
2023-07-08 23:30:00+00:00,2023,San Lorenzo,River Plate,460,435,0,0,1
2023-07-09 18:30:00+00:00,2023,Instituto Cordoba,Tigre,478,452,0,1,0
2023-07-09 18:30:00+00:00,2023,Platense,Sarmiento Junin,1064,474,1,0,2
2023-07-09 21:00:00+00:00,2023,Velez Sarsfield,Godoy Cruz,438,439,1,1,1
2023-07-09 23:30:00+00:00,2023,Defensa Y Justicia,Lanus,442,446,2,2,1
2023-07-09 23:30:00+00:00,2023,Banfield,Arsenal Sarandi,449,459,0,0,1
2023-07-10 17:00:00+00:00,2023,Barracas Central,Argentinos JRS,2432,458,0,0,1
2023-07-10 19:30:00+00:00,2023,Colon Santa Fe,Belgrano Cordoba,448,440,0,0,1
2023-07-10 22:30:00+00:00,2023,Boca Juniors,Huracan,451,445,1,0,2
2023-07-11 00:30:00+00:00,2023,Talleres Cordoba,Union Santa Fe,456,441,0,0,1
2023-07-11 21:45:00+00:00,2023,Rosario Central,Central Cordoba de Santiago,437,1065,2,0,2
2023-07-11 23:00:00+00:00,2023,Independiente,Newells Old Boys,453,457,0,2,0
2023-07-12 00:30:00+00:00,2023,Atletico Tucuman,Gimnasia L.P.,455,434,2,0,2
2023-07-14 22:00:00+00:00,2023,Godoy Cruz,Defensa Y Justicia,439,442,2,2,1
2023-07-14 22:00:00+00:00,2023,Sarmiento Junin,Velez Sarsfield,474,438,1,1,1
2023-07-15 00:30:00+00:00,2023,Huracan,Talleres Cordoba,445,456,0,1,0
2023-07-15 17:00:00+00:00,2023,Union Santa Fe,Platense,441,1064,0,0,1
2023-07-15 19:00:00+00:00,2023,Racing Club,Rosario Central,436,437,1,1,1
2023-07-15 22:00:00+00:00,2023,River Plate,Estudiantes L.P.,435,450,3,1,2
2023-07-16 17:00:00+00:00,2023,Belgrano Cordoba,San Lorenzo,440,460,0,1,0
2023-07-16 19:30:00+00:00,2023,Gimnasia L.P.,Boca Juniors,434,451,1,3,0
2023-07-16 22:00:00+00:00,2023,Lanus,Banfield,446,449,2,2,1
2023-07-17 00:30:00+00:00,2023,Argentinos JRS,Colon Santa Fe,458,448,1,0,2
2023-07-17 00:30:00+00:00,2023,Central Cordoba de Santiago,Independiente,1065,453,0,1,0
2023-07-17 21:00:00+00:00,2023,Tigre,Barracas Central,452,2432,0,1,0
2023-07-17 21:00:00+00:00,2023,Arsenal Sarandi,Instituto Cordoba,459,478,0,2,0
2023-07-17 23:30:00+00:00,2023,Newells Old Boys,Atletico Tucuman,457,455,0,0,1
2023-07-22 18:30:00+00:00,2023,San Lorenzo,Argentinos JRS,460,458,0,2,0
2023-07-22 21:00:00+00:00,2023,Estudiantes L.P.,Belgrano Cordoba,450,440,4,0,2
2023-07-22 23:30:00+00:00,2023,Platense,Huracan,1064,445,0,1,0
2023-07-23 19:30:00+00:00,2023,Atletico Tucuman,Independiente,455,453,1,0,2
2023-07-23 21:45:00+00:00,2023,Defensa Y Justicia,Sarmiento Junin,442,474,3,0,2
2023-07-24 00:00:00+00:00,2023,Rosario Central,River Plate,437,435,3,3,1
2023-07-24 19:30:00+00:00,2023,Velez Sarsfield,Union Santa Fe,438,441,0,0,1
2023-07-24 19:30:00+00:00,2023,Talleres Cordoba,Gimnasia L.P.,456,434,2,2,1
2023-07-24 21:30:00+00:00,2023,Banfield,Godoy Cruz,449,439,2,0,2
2023-07-24 22:30:00+00:00,2023,Racing Club,Central Cordoba de Santiago,436,1065,3,1,2
2023-07-24 23:45:00+00:00,2023,Boca Juniors,Newells Old Boys,451,457,2,1,2
2023-07-25 18:30:00+00:00,2023,Barracas Central,Arsenal Sarandi,2432,459,0,0,1
2023-07-25 21:00:00+00:00,2023,Colon Santa Fe,Tigre,448,452,1,3,0
2023-07-25 23:30:00+00:00,2023,Instituto Cordoba,Lanus,478,446,2,1,2
2023-07-28 19:30:00+00:00,2023,Union Santa Fe,Defensa Y Justicia,441,442,2,0,2
2023-07-28 19:30:00+00:00,2023,Argentinos JRS,Estudiantes L.P.,458,450,2,3,0
2023-07-28 22:00:00+00:00,2023,Newells Old Boys,Talleres Cordoba,457,456,1,1,1
2023-07-28 22:00:00+00:00,2023,Belgrano Cordoba,Rosario Central,440,437,0,0,1
2023-07-29 00:30:00+00:00,2023,River Plate,Racing Club,435,436,2,1,2
2023-07-29 17:30:00+00:00,2023,Central Cordoba de Santiago,Atletico Tucuman,1065,455,0,2,0
2023-07-29 18:00:00+00:00,2023,Sarmiento Junin,Banfield,474,449,0,0,1
2023-07-29 20:00:00+00:00,2023,Independiente,Boca Juniors,453,451,0,2,0
2023-07-29 23:00:00+00:00,2023,Tigre,San Lorenzo,452,460,2,0,2
2023-07-30 18:00:00+00:00,2023,Lanus,Barracas Central,446,2432,2,0,2
2023-07-30 18:00:00+00:00,2023,Arsenal Sarandi,Colon Santa Fe,459,448,2,0,2
2023-07-30 20:30:00+00:00,2023,Gimnasia L.P.,Platense,434,1064,1,1,1
2023-07-30 20:30:00+00:00,2023,Huracan,Velez Sarsfield,445,438,1,0,2
2023-07-30 23:00:00+00:00,2023,Godoy Cruz,Instituto Cordoba,439,478,4,2,2
