date,home_team,away_team,home_odds,draw_odds,away_odds
2025-11-08T00:00:00Z,Rosario Central,San Lorenzo,2.0416666666666665,2.796666666666667,4.549444444444445
2025-11-08T20:00:00Z,Atlético Huracán,Newells Old Boys,1.778421052631579,3.0700000000000003,5.45
2025-11-08T20:00:00Z,Racing Club,Defensa y Justicia,1.8605263157894736,3.1589473684210523,4.663157894736842
2025-11-08T22:15:00Z,Talleres,Platense,2.0026315789473683,2.798947368421053,4.605263157894737
2025-11-09T00:30:00Z,Union Santa Fe,Barracas Central,1.6164999999999998,3.548,5.911499999999999
2025-11-09T00:30:00Z,San Martin de San Juan,Lanus,2.709473684210526,2.921052631578947,2.7931578947368423
2025-11-09T19:30:00Z,Boca Juniors,River Plate,2.331111111111111,2.906111111111111,3.2805555555555554
2025-11-09T21:00:00Z,Banfield,Aldosivi Mar del Plata,1.8168421052631576,3.236842105263158,4.672631578947369
2025-11-09T21:00:00Z,Argentinos Juniors,Belgrano de Cordoba,1.6466666666666665,3.483333333333333,5.233333333333333
2025-11-09T21:00:00Z,Atlético Tucuman,Godoy Cruz,2.1378947368421053,3.0884210526315794,3.583157894736842
2025-11-09T21:00:00Z,CA Tigre BA,Estudiantes,3.387368421052632,2.7363157894736845,2.434736842105263
2025-11-09T21:00:00Z,Deportivo Riestra,Independiente,3.35,2.533333333333333,2.533333333333333
2025-11-09T21:00:00Z,Gimnasia La Plata,Velez Sarsfield BA,3.286111111111111,2.8022222222222224,2.3905555555555558
2025-11-09T22:20:00Z,Sarmiento de Junin,Instituto de Córdoba,3.568421052631579,2.5978947368421053,2.431052631578947
2025-11-10T22:00:00Z,Deportivo Riestra,Independiente,3.325384615384615,2.5184615384615388,2.644615384615385
2025-11-11T00:15:00Z,Argentinos Juniors,Belgrano de Cordoba,1.65,3.486,5.542
2025-11-11T00:15:00Z,Independiente Rivadavia,Central Córdoba,2.41,2.9566666666666666,3.11
2025-11-16T13:00:00Z,Aldosivi Mar del Plata,San Martin de San Juan,2.2966666666666664,2.983333333333333,3.1833333333333336
2025-11-16T13:00:00Z,Estudiantes,Argentinos Juniors,2.103333333333333,3.1333333333333333,3.4333333333333336
2025-11-16T13:00:00Z,Barracas Central,Atlético Huracán,2.4533333333333336,2.766666666666667,3.1333333333333333
2025-11-16T13:00:00Z,Lanus,Atlético Tucuman,1.87,3.283333333333333,4.033333333333333
2025-11-16T13:00:00Z,Central Córdoba,Banfield,2.376666666666667,3.083333333333333,2.9333333333333336
2025-11-16T13:00:00Z,Belgrano de Cordoba,Union Santa Fe,2.3266666666666667,2.983333333333333,3.1333333333333333
2025-11-16T13:00:00Z,Boca Juniors,CA Tigre BA,1.3966666666666665,4.15,7.666666666666667
2025-11-16T13:00:00Z,Defensa y Justicia,Independiente Rivadavia,1.7966666666666669,3.333333333333333,4.3
2025-11-16T13:00:00Z,Godoy Cruz,Deportivo Riestra,2.303333333333333,2.793333333333333,3.4
2025-11-16T13:00:00Z,Platense,Gimnasia La Plata,1.83,3.1833333333333336,4.4
2025-11-16T13:00:00Z,Independiente,Rosario Central,2.6833333333333336,2.9033333333333338,2.6833333333333336
2025-11-16T13:00:00Z,Newells Old Boys,Racing Club,2.766666666666667,3.083333333333333,2.4833333333333334
2025-11-16T13:00:00Z,Velez Sarsfield BA,River Plate,2.8266666666666667,3.033333333333333,2.4833333333333334
2025-11-16T13:00:00Z,San Lorenzo,Sarmiento de Junin,1.76,3.033333333333333,5.366666666666667
2025-11-08T00:00:00Z,Rosario Central,San Lorenzo,2.046111111111111,2.796666666666667,4.5438888888888895
2025-11-08T20:00:00Z,Racing Club,Defensa y Justicia,1.8589473684210527,3.153684210526316,4.673684210526315
2025-11-08T22:15:00Z,Talleres,Platense,1.9973684210526317,2.7815789473684216,4.663157894736842
2025-11-09T00:30:00Z,Union Santa Fe,Barracas Central,1.6164999999999998,3.5479999999999996,5.911499999999999
2025-11-09T00:30:00Z,San Martin de San Juan,Lanus,2.710526315789474,2.921052631578947,2.7931578947368423
2025-11-09T21:00:00Z,Banfield,Aldosivi Mar del Plata,1.8173684210526317,3.2421052631578946,4.672631578947369
2025-11-09T21:00:00Z,CA Tigre BA,Estudiantes,3.3873684210526314,2.7363157894736845,2.434736842105263
2025-11-09T21:00:00Z,Gimnasia La Plata,Velez Sarsfield BA,3.286111111111111,2.8022222222222224,2.3905555555555553
2025-11-11T00:15:00Z,Argentinos Juniors,Belgrano de Cordoba,1.65,3.4859999999999998,5.542
2025-11-11T00:15:00Z,Independiente Rivadavia,Central Córdoba,2.4099999999999997,2.9566666666666666,3.11
2025-11-16T13:00:00Z,Estudiantes,Argentinos Juniors,2.1033333333333335,3.1333333333333333,3.4333333333333336
2025-11-16T13:00:00Z,Central Córdoba,Banfield,2.376666666666667,3.0833333333333335,2.9333333333333336
2025-11-16T13:00:00Z,Boca Juniors,CA Tigre BA,1.3966666666666665,4.1499999999999995,7.666666666666667
2025-11-16T13:00:00Z,Defensa y Justicia,Independiente Rivadavia,1.7966666666666669,3.3333333333333335,4.3
2025-11-16T13:00:00Z,Godoy Cruz,Deportivo Riestra,2.3033333333333332,2.793333333333333,3.4
2025-11-16T13:00:00Z,Platense,Gimnasia La Plata,1.83,3.1833333333333336,4.3999999999999995
2025-11-16T13:00:00Z,Newells Old Boys,Racing Club,2.766666666666667,3.0833333333333335,2.4833333333333334
